,question,intent
0,សាលា ស៊ីអេឌីធី សិស្ស ទើប ប្រឡង បាក់ឌុប ចប់ មាន​ សិស្ស,ScholarshipInfo
1,សាលា ស៊ីអេឌីធី សិស្ស ទើប ប្រឡង បាក់ឌុប ចប់ មាន​ សិស្ស,ScholarshipInfo
2,សាលា ស៊ីអេឌីធី សិស្ស ទើប ប្រឡង បាក់ឌុប ចប់ មាន​ សិស្ស,ScholarshipInfo
3,សាលា ស៊ីអេឌីធី សិស្ស ទើប ប្រឡង បាក់ឌុប ចប់ មាន​ សិស្ស,ScholarshipInfo
4,សាលា ស៊ីអេឌីធី សិស្ស ទើប ប្រឡង បាក់ឌុប ចប់ ផ្តល់ អាហារូបករណ៍,ScholarshipInfo
5,សាលា ស៊ីអេឌីធី សិស្ស ទើប ប្រឡង បាក់ឌុប ចប់ ផ្តល់ អាហារូបករណ៍,ScholarshipInfo
6,សាលា ស៊ីអេឌីធី សិស្ស ទើប ប្រឡង បាក់ឌុប ចប់ ផ្តល់ អាហារូបករណ៍,ScholarshipInfo
7,សាលា ស៊ីអេឌីធី សិស្ស ទើប ប្រឡង បាក់ឌុប ចប់ ផ្តល់ អាហារូបករណ៍,ScholarshipInfo
8,សាលា ស៊ីអេឌីធី ឲ្យ អាហារូបករណ៍ សិស្ស,ScholarshipInfo
9,សាលា ស៊ីអេឌីធី ឲ្យ អាហារូបករណ៍ សិស្ស,ScholarshipInfo
10,សាលា ស៊ីអេឌីធី ឲ្យ អាហារូបករណ៍ សិស្ស,ScholarshipInfo
11,សាលា ស៊ីអេឌីធី ឲ្យ អាហារូបករណ៍ សិស្ស,ScholarshipInfo
12,សាលា ស៊ីអេឌីធី ឲ្យ អាហារូបករណ៍ សិស្ស ទើប ចប់ ទី ១២,ScholarshipInfo
13,សាលា ស៊ីអេឌីធី ឲ្យ អាហារូបករណ៍ សិស្ស ទើប ចប់ ទី ១២,ScholarshipInfo
14,សាលា ស៊ីអេឌីធី ឲ្យ អាហារូបករណ៍ សិស្ស ទើប ចប់ ទី ១២,ScholarshipInfo
